artist,song,duration_ms,explicit,year,popularity,key,tempo,genre
Vengaboys,Shalala Lala,214819,FALSE,2000,58,2,124.017,pop
Ronan Keating,Life Is A Rollercoaster,234826,FALSE,2000,59,0,118.981,"pop, rock"
Madison Avenue,Don't Call Me Baby,228140,FALSE,1999,56,3,124.999,Dance/Electronic
Destiny's Child,"Jumpin', Jumpin'",230200,FALSE,1999,70,1,88.997,"pop, R&B"
Céline Dion,That's the Way It Is,241373,FALSE,1999,64,9,93.04,pop
3 Doors Down,Kryptonite,233933,FALSE,2000,78,11,99.009,"pop, rock, metal"
Carl Thomas,I Wish,226760,FALSE,2000,52,1,89.824,"pop, R&B"
Mystikal,Shake Ya Ass,256973,TRUE,2000,57,7,98.054,"hip hop, pop"
Fuel,Hemorrhage (In My Hands),236866,FALSE,2000,49,1,152.034,"rock, pop, metal"
Donell Jones,Where I Wanna Be,253626,FALSE,1999,57,5,102.053,"pop, R&B"
Savage Garden,Crash and Burn,281466,FALSE,1999,54,4,102.03,pop
Westlife,My Love,231760,FALSE,2000,68,0,144.142,pop
All Saints,Pure Shores,268746,FALSE,2000,62,6,100.618,pop
Destiny's Child,"Independent Women, Pt. 1",221133,FALSE,2001,65,6,97.954,"pop, R&B"
*NSYNC,It's Gonna Be Me,191040,FALSE,2000,60,0,165.09,pop
Erykah Badu,Bag Lady,348893,FALSE,2000,54,5,151.181,"hip hop, R&B"
Marc Anthony,You Sang To Me,347106,FALSE,1999,56,10,165.98,"pop, latin"
Matchbox Twenty,Bent,256133,FALSE,2000,54,6,95.468,"pop, rock"
Gabrielle,Rise,219093,FALSE,2001,60,8,144.673,"pop, R&B"
Backstreet Boys,Shape of My Heart,230093,FALSE,2000,70,9,96.102,pop
Creed,With Arms Wide Open,274800,FALSE,1999,64,0,138.852,"pop, rock, metal"
The Corrs,Breathless,207506,FALSE,2000,68,11,126.988,"pop, Folk/Acoustic"
Joe,I Wanna Know,296693,FALSE,2000,65,8,136.086,"pop, R&B"
